time_ms,a0,a1,a2,a3,a4,roll,pitch
22523,564,686,694,702,915,-35.93,-70.18
22543,565,687,695,702,915,-35.88,-70.21
22563,566,687,694,702,916,-35.74,-70.20
22583,564,686,693,703,915,-35.73,-70.21
22603,565,686,693,703,911,-35.78,-70.19
22623,565,684,692,702,916,-35.71,-70.16
22643,562,685,693,699,915,-35.69,-70.12
22663,564,688,695,701,910,-35.74,-70.07
22683,565,685,691,702,912,-35.81,-70.03
22703,562,688,692,701,916,-35.81,-70.01
22723,568,684,693,702,914,-35.79,-70.03
22743,565,684,694,702,910,-35.79,-70.04
22763,563,685,693,700,914,-35.80,-70.17
22783,563,688,693,702,914,-35.81,-70.19
22803,562,685,693,703,916,-35.85,-70.19
22823,563,684,692,698,918,-35.85,-70.21
22843,564,688,690,702,915,-35.78,-70.19
22863,562,687,692,701,914,-35.77,-70.19
22883,568,686,693,700,915,-35.82,-70.16
22903,569,687,695,704,913,-35.81,-70.13
22923,564,688,693,701,915,-35.80,-70.17
22943,564,688,692,701,916,-35.76,-70.21
22963,562,688,693,703,914,-35.76,-70.27
22983,562,686,694,703,913,-35.77,-70.32
23003,564,682,691,701,912,-35.93,-70.33
23023,565,685,692,701,913,-35.99,-70.35
23043,562,686,693,702,914,-36.05,-70.35
23063,565,687,693,702,914,-36.07,-70.33
23083,566,686,693,700,915,-36.02,-70.30
23103,566,684,692,701,914,-35.78,-70.23
23123,564,684,691,700,916,-35.74,-70.21
23143,563,685,694,703,910,-35.68,-70.23
23163,563,687,693,703,915,-35.70,-70.26
23183,565,687,690,698,914,-35.70,-70.31
23203,564,684,693,703,913,-35.65,-70.33
23223,561,687,693,698,917,-35.62,-70.34
23243,565,687,693,702,915,-35.58,-70.38
23263,564,684,693,701,916,-35.56,-70.38
23283,567,685,693,704,916,-35.63,-70.35
23303,566,687,695,701,912,-35.58,-70.31
23323,565,687,694,703,912,-35.54,-70.26
23343,561,686,693,699,914,-35.55,-70.23
23363,563,688,693,701,915,-35.54,-70.24
23383,564,685,696,701,915,-35.64,-70.27
23403,563,687,696,701,915,-35.67,-70.28
23423,563,686,694,701,915,-35.64,-70.32
23443,565,686,693,702,915,-35.58,-70.36
23463,561,685,692,701,914,-35.55,-70.41
23483,565,685,693,701,915,-35.49,-70.42
23503,567,684,693,702,914,-35.55,-70.45
23523,562,686,693,701,916,-35.56,-70.50
23543,567,686,693,702,916,-35.57,-70.55
23563,568,686,691,702,916,-35.59,-70.59
23583,566,688,694,702,915,-35.57,-70.59
23603,562,682,691,701,914,-35.54,-70.60
23623,563,688,695,701,914,-35.51,-70.61
