time_ms,a0,a1,a2,a3,a4,roll,pitch
3943,314,694,708,708,835,4.84,-15.45
3963,319,692,709,708,837,4.80,-15.99
3983,314,691,707,709,836,4.89,-16.31
4003,319,692,705,709,836,5.05,-16.68
4023,314,693,706,708,839,5.12,-17.08
4043,314,691,706,708,835,5.42,-17.39
4063,316,694,705,707,834,5.67,-17.81
4083,314,691,708,707,839,5.81,-18.12
4103,318,694,707,709,837,6.00,-18.22
4123,315,691,708,706,841,6.15,-18.15
4143,316,691,708,707,840,6.14,-18.01
4163,316,692,708,707,835,6.08,-17.88
4183,314,692,707,707,838,5.90,-17.75
4203,316,691,707,707,837,5.81,-17.54
4223,316,691,708,706,836,5.73,-17.26
4243,319,693,707,709,838,5.69,-17.13
4263,318,693,707,706,834,5.66,-17.02
4283,316,696,705,708,837,5.68,-16.93
4303,317,691,705,709,833,5.73,-16.98
4323,315,693,707,707,838,5.82,-17.20
4343,318,692,707,706,837,5.92,-17.32
4363,316,692,707,707,835,5.93,-17.39
4383,317,691,707,707,834,5.93,-17.40
4403,316,690,707,708,834,5.87,-17.37
4423,316,690,706,708,834,5.84,-17.27
4443,316,694,708,707,839,5.79,-17.17
4463,318,692,707,707,838,5.65,-16.97
4483,317,692,707,709,836,5.59,-16.89
4503,318,692,704,709,832,5.61,-16.84
4523,319,691,706,709,837,5.70,-16.85
4543,318,692,707,707,838,5.75,-16.92
4563,317,693,704,709,838,5.76,-17.04
4583,316,696,708,707,834,5.76,-17.16
4603,318,691,708,709,833,5.77,-17.27
4623,317,692,705,706,838,5.71,-17.30
4643,318,692,707,708,836,5.70,-17.33
4663,319,691,707,709,834,5.67,-17.29
4683,317,691,707,711,833,5.58,-17.20
4703,316,692,708,708,836,5.48,-17.08
4723,317,692,707,708,840,5.47,-16.96
4743,319,693,708,707,838,5.61,-16.74
4763,316,691,708,708,837,5.73,-16.44
4783,317,692,706,708,841,5.79,-16.39
4803,318,693,705,708,838,5.11,-16.99
4823,316,693,706,711,835,5.22,-16.96
4843,318,692,707,707,835,5.22,-16.94
4863,319,690,707,709,837,5.22,-16.94
